ID,Predicted
226,47.799265740827124
292,26.844116451986142
90,22.797039993720084
373,10.539302958716124
273,42.677537491964735
417,13.09224948042125
503,30.14157152422129
234,25.427922156039223
111,22.705773263623428
472,19.67159650078955
99,33.10981699412787
339,22.056472195928173
309,21.22768896733586
304,33.289861916976314
272,22.508380810780878
346,20.61073819805884
412,10.539302958716124
151,20.754159595001884
496,13.822091108560224
410,20.477703027522328
490,17.103600857486438
132,21.31233945519562
224,45.85952939978747
318,21.31233945519562
284,29.978220880611385
444,12.389192474593091
321,23.875939257357395
116,21.615532822725587
333,24.074656460361382
351,25.738135860237247
123,11.360323169613805
489,16.389933897863727
394,17.685854844594814
453,14.696270717081854
302,21.9171094803863
131,20.501561141601066
236,36.12744462779306
425,11.735206808023465
262,46.93285795584107
40,42.850674087413935
393,17.29541768022608
141,10.274039907037713
223,24.806485550474072
456,20.70661746602537
296,25.957231654600875
300,28.531971902940747
414,11.354147496064225
122,17.560252269547146
150,20.64311419945796
140,13.258130425333325
107,20.64311419945796
327,20.672986606763335
75,24.3131164252854
34,12.75983441563445
153,17.555400621433833
56,24.074656460361382
98,46.51741625391061
455,14.72978078220264
295,29.27407933941621
50,20.61073819805884
500,20.572295320972678
176,20.944219069021635
127,16.057597049115557
157,32.493225604856
358,21.27231269734932
403,14.925517741418805
28,19.793217363492673
43,23.645885019776163
71,21.623005344477768
487,20.942414957854822
476,14.80572735795725
311,22.967164921579485
49,18.08111509679815
409,13.285605779850835
407,20.184444905912958
353,30.2593343444283
170,25.531826183357133
149,13.378554839592292
263,24.130197797590228
421,17.476804011340047
471,20.501561141601066
163,44.500342070605484
221,13.10677325267069
434,17.4252341313898
66,20.062768398943515
449,14.749138422752365
499,17.942099333831266
392,13.290057413632548
297,17.84801180481772
352,22.424965961947304
186,45.99539919274056
21,20.61073819805884
479,20.501561141601066
442,15.747166365392014
329,23.481603112985937
52,25.137677011002488
134,17.186855724804882
349,28.587464861727064
212,17.521781366124785
156,17.68136854853469
480,21.31233945519562
248,34.46325491075884
