ID,Predicted
28800,0
31345,0
20075,0
2929,0
4776,0
30680,0
39065,1
1020,0
29343,0
39247,0
17811,0
10991,0
31014,0
39988,0
16245,0
17352,0
24442,0
2767,0
25642,0
15588,0
12117,0
26203,0
4099,0
2128,0
10296,0
7392,0
38659,0
17767,0
5214,0
17275,0
29511,0
25762,0
33020,0
17728,0
36446,0
9737,0
19629,0
19903,0
29324,0
32075,0
16008,0
18188,0
23600,0
33780,0
23467,0
4247,0
36383,0
18256,0
1827,0
23227,0
26611,0
24519,0
7183,0
28644,0
26095,0
30537,0
24214,0
24166,0
11575,0
36848,0
34905,0
7967,0
26309,0
26575,0
15261,0
5867,0
3293,0
16652,0
29555,0
3108,0
6623,0
25306,0
27578,0
16266,0
19809,0
32507,0
9451,0
5818,0
23817,0
6205,0
19477,0
9407,0
36890,0
15782,0
37989,0
27550,0
35363,0
23554,0
35454,0
1275,0
34104,0
4478,0
32867,0
39298,0
29860,0
24878,0
8877,0
40362,0
34677,0
6690,0
21988,0
8878,0
17200,0
27087,0
24531,0
6594,0
12304,0
37927,1
29362,0
11870,0
29127,0
25375,0
13414,0
31967,0
32774,0
17814,0
33961,0
9583,0
1632,0
33835,0
13557,0
12259,0
17481,0
7500,0
24990,0
4496,0
20496,0
22861,0
31218,0
25065,0
35693,0
26544,0
11971,0
20628,0
36706,0
4516,0
25565,0
7501,0
5460,0
33136,0
34035,0
21444,0
27773,0
36098,0
23708,0
37590,1
31929,0
38083,0
20456,0
15144,0
20649,0
20221,0
35902,0
3232,0
38038,0
16728,0
21479,0
115,0
40027,0
23799,0
22832,0
38599,0
31541,0
13715,0
19775,0
15201,0
1707,0
19745,0
15448,0
1015,0
39923,0
2490,0
16707,0
21625,0
17615,0
25712,0
19700,0
13274,0
16017,0
18463,0
24416,0
590,0
26563,0
5456,0
18916,0
6293,0
11138,0
2509,0
7725,0
25441,0
3804,0
38242,0
9457,0
1269,0
6738,0
29772,0
16690,0
12336,0
7547,0
38010,0
26253,0
3704,0
36671,0
30731,0
2447,0
14645,0
3874,0
646,0
19157,0
5054,0
18090,0
31163,0
37990,0
14067,0
21736,0
15439,0
33757,0
36611,0
3728,0
37959,0
21227,0
39162,1
39132,1
22612,0
28223,0
28333,0
1377,0
37370,0
22376,0
10148,0
8828,0
36526,0
14788,0
10777,0
4158,0
17969,0
12296,0
922,0
40281,0
18529,0
8496,0
23983,0
15774,0
9209,0
28551,0
12835,0
39293,1
30760,0
24521,0
3532,0
19518,0
19447,0
34890,0
30564,0
20838,0
20804,0
26246,0
10391,0
36819,0
20678,0
30778,0
18034,0
34343,0
9680,0
8284,0
14191,0
27338,0
28974,0
18213,0
35842,0
16351,0
38704,0
8649,0
21020,0
1861,0
36984,0
9702,0
27256,0
623,0
4139,0
28597,0
31740,0
15546,0
17040,0
34495,0
30378,0
35370,0
9603,0
5586,0
12615,0
11469,0
33222,0
36898,0
4942,0
12099,0
19864,0
41141,0
39376,1
33415,0
20515,0
37808,1
28362,0
2560,0
38081,1
16624,0
8680,0
35042,0
26315,0
15551,0
21924,0
20644,0
12939,0
364,0
11484,0
7074,0
11976,0
34330,0
4307,0
33601,0
37554,0
16238,0
24626,0
32600,0
13468,0
2416,0
25312,0
25633,0
11447,0
33200,0
27444,0
24705,0
12928,0
14942,0
7878,0
28243,0
31537,0
20352,0
3912,0
17579,0
11024,0
22716,0
22265,0
40635,0
7403,0
35585,0
26722,0
21008,0
17727,0
24117,0
19791,0
35894,0
26576,0
26418,0
13424,0
22816,0
38393,1
8052,0
5868,0
26450,0
31766,0
13365,0
2363,0
19590,0
2847,0
31416,0
6961,0
23622,0
35639,0
12661,0
37602,0
9278,0
30843,0
24896,0
15360,0
1574,0
20076,0
31220,0
38094,0
16075,0
2841,0
11609,0
24926,0
18719,0
34173,0
17524,0
1845,0
37662,0
31945,0
26890,0
7881,0
964,0
37603,0
3888,0
7014,0
29745,0
33010,0
24246,0
33827,0
2919,0
29231,0
9954,0
24598,0
39844,1
21408,0
21667,0
21629,0
33337,0
30262,0
15773,0
9359,0
1507,0
13997,0
16043,0
7640,0
10005,0
13955,0
40268,0
16520,0
27496,0
28036,0
4869,0
11245,0
37451,0
37663,1
35490,0
4922,0
34763,0
4769,0
20991,0
27051,0
23299,0
8424,0
23882,0
139,0
1001,0
37064,0
18782,0
39196,1
21755,0
19231,0
7866,0
7980,0
12994,0
30544,0
895,0
30330,0
36860,0
19470,0
33506,0
3010,0
1460,0
2344,0
1937,0
28209,0
2655,0
17898,0
8179,0
41045,0
11753,0
27366,0
12708,0
37108,0
28789,0
17752,0
11480,0
6404,0
11790,0
34560,0
12403,0
4564,0
12315,0
3486,0
30480,0
19372,0
8841,0
36328,0
26184,0
13403,0
30892,0
9921,0
11157,0
3855,0
19764,0
6544,0
35388,0
18470,0
1080,0
26703,0
2958,0
13596,0
37564,0
25753,0
2328,0
11839,0
11538,0
27113,0
24998,0
17937,0
12224,0
19045,0
1178,0
17549,0
10191,0
14663,0
22444,0
26578,0
32785,0
22992,0
12757,0
34490,0
6261,0
40995,0
37182,0
1860,0
17308,0
31106,0
41146,0
24399,0
14970,0
14675,0
32190,0
39523,1
36033,0
30128,0
10536,0
27437,0
21887,0
29458,0
19574,0
4995,0
4809,0
23595,0
15383,0
13605,0
22237,0
30162,1
29437,0
37745,0
15221,0
17740,0
7480,0
11694,0
27778,0
15132,0
19027,0
29493,0
36288,0
39396,1
6152,0
22021,0
16937,0
6611,0
2970,0
1311,0
24832,0
33007,0
2389,0
27108,0
19421,0
16112,0
13398,0
4106,0
4986,0
26521,0
12797,0
39423,1
40415,0
20431,0
28546,0
13302,0
21617,0
37534,0
30474,0
12300,0
11991,0
3507,0
12556,0
30846,0
27245,0
25186,0
17668,0
32946,0
37380,0
36099,0
13840,0
24941,0
713,0
16386,0
18315,0
32225,0
26741,0
32389,0
28645,0
496,0
34461,0
8030,0
19965,0
8830,0
16163,0
10271,0
39331,1
3939,0
31455,0
21322,0
38881,1
4925,0
28778,0
13154,0
22496,0
9260,0
27541,0
11742,0
8256,0
31249,0
2157,0
38195,0
16246,0
37940,0
38342,1
32856,0
19938,0
20776,0
12617,0
20291,0
39626,1
3934,0
31772,0
19488,0
34533,0
41072,0
7889,0
14602,0
27214,0
28410,0
23890,0
627,0
32295,0
10203,0
23325,0
28697,0
36761,0
36097,0
37028,0
25959,0
39777,0
37430,0
26813,0
8621,0
25300,0
38289,0
31023,0
5080,0
21358,0
2432,0
10673,0
2474,0
24276,0
17036,0
40483,0
22907,0
6521,0
35063,0
9616,0
6747,0
22430,0
38168,0
32550,0
18691,0
37127,0
471,0
15153,0
36282,0
765,0
40341,0
12766,0
22894,0
22245,0
4749,0
15978,0
41043,0
22879,0
39824,0
365,0
12998,0
34502,0
1272,0
20011,0
4429,0
18096,0
5042,0
24925,0
23364,0
8139,0
25199,0
18423,0
9239,0
36037,0
5075,0
36780,0
35130,0
27912,0
38976,0
6743,0
34356,0
25898,0
13052,0
9992,0
19716,0
36595,0
5177,0
10968,0
2185,0
2867,0
37846,0
3032,0
12674,0
37915,1
10905,0
38249,0
29546,0
23288,0
19952,0
33516,0
37630,0
33219,0
36516,0
101,0
1989,0
8972,0
24484,0
38072,0
218,0
32409,0
39831,0
31989,0
39234,1
13242,0
28087,0
14074,0
27340,0
40525,0
16504,0
18632,0
5190,0
23195,0
7484,0
10080,0
16049,0
10433,0
25938,0
35153,0
38454,1
20524,0
18204,0
29138,0
12967,0
22036,0
35121,0
2226,0
27921,0
10182,0
