ID1,Predicted
173,23.749690072032394
274,38.34461578795228
491,15.960285923902731
72,30.23968233348006
452,16.642572174490553
76,21.078842291206087
316,15.742063658454171
140,12.061349013362346
471,20.353026981399083
500,19.15804856738309
218,16.087105683346167
9,16.788980769116094
414,13.655171847765686
78,20.780128402205847
323,21.265582910681374
473,21.33083184674925
124,16.37663329863436
388,11.747725992395644
195,41.63359596345164
448,15.909738282684302
271,27.535455728212384
278,26.360117878363887
30,12.742559998223882
501,23.086867704610256
421,17.997481372319
474,15.901324221177376
79,23.683017833459672
454,15.427435050100641
210,16.642572174490553
497,19.349082510143674
172,18.85669808863618
320,26.342228525942026
375,19.891045721805128
362,22.59065445536072
467,13.48934399098458
153,17.920123636681794
2,35.8314665399932
336,22.959122316037337
208,18.88191839649393
73,25.76345462860705
496,13.60671996048039
307,25.77969493973722
204,42.213632061827454
68,20.175227206396187
90,24.013273268549867
390,16.780359736838918
33,15.725369631656278
70,27.262770163869014
470,17.488915429282017
0,31.980202211342572
11,20.029310185498687
